Year,Aq14C,Aq14C_Uncertainty,Soil14C,Soil14C_Uncertainty
1900,-196.6646695,0.127839109,-5.988523495,1.291389437
1901,-197.0063621,0.095309861,-6.155023113,1.286738455
1902,-197.3549883,0.064211018,-6.326104084,1.281668712
1903,-197.7099079,0.034530429,-6.501717654,1.27618888
1904,-198.0778526,0.005122807,-6.681815569,1.2703075
1905,-198.4576252,0.023849239,-6.866350078,1.264032987
1906,-198.848138,0.052252385,-7.055273922,1.257373628
1907,-199.248402,0.079978807,-7.247524964,1.250439122
1908,-199.6575188,0.106942829,-7.442052417,1.243337034
1909,-200.0673626,0.131953507,-7.637816733,1.236172828
1910,-200.4705511,0.154025825,-7.834804481,1.228948398
1911,-200.8603774,0.172354414,-8.034017249,1.221564116
1912,-201.2380546,0.187414279,-8.237460651,1.213820859
1913,-201.6119908,0.200750709,-8.447118826,1.20552346
1914,-201.9971296,0.214795543,-8.663940145,1.196582104
1915,-202.4070472,0.231583197,-8.886834034,1.187111684
1916,-202.8467745,0.25167696,-9.115735825,1.177123456
1917,-203.3062777,0.273279184,-9.34855324,1.166831335
1918,-203.7837409,0.295994864,-9.582202354,1.156546455
1919,-204.2629138,0.317238699,-9.81667393,1.146269651
1920,-204.7217332,0.333729971,-10.05094505,1.136103121
1921,-205.1620495,0.346119294,-10.28603105,1.125944306
1922,-205.578247,0.353858527,-10.52394992,1.115591317
1923,-205.9798178,0.358765843,-10.76669804,1.104846256
1924,-206.3826814,0.363508394,-11.01523714,1.093616495
1925,-206.8013015,0.370324102,-11.26849232,1.082013907
1926,-207.2415244,0.37995301,-11.52641317,1.070046896
1927,-207.6940746,0.390751906,-11.786924,1.05792632
1928,-208.1578171,0.402456337,-12.04695852,1.045960179
1929,-208.6171378,0.412594674,-12.30753394,1.034045321
1930,-209.0505604,0.417983568,-12.56864403,1.022181878
1931,-209.4677319,0.420472653,-12.82927019,1.010471217
1932,-209.870129,0.420512223,-13.09245396,0.998607771
1933,-210.2518059,0.417375994,-13.35917993,0.986494444
1934,-210.6365087,0.414961469,-13.63042216,0.974036076
1935,-211.0312394,0.414290317,-13.90613233,0.96124061
1936,-211.4423593,0.416207054,-14.1852508,0.948217047
1937,-211.868363,0.420281029,-14.46875266,0.934869925
1938,-212.3005992,0.425015365,-14.75557938,0.92130801
1939,-212.7457723,0.431390809,-15.04569521,0.9075368
1940,-213.1954101,0.437977805,-15.33906478,0.893561707
1941,-213.6490959,0.444696076,-15.63565305,0.879388058
1942,-214.1064509,0.451477372,-15.9344143,0.865122199
1943,-214.5671308,0.458264004,-16.23532494,0.8507673
1944,-215.0235448,0.463887853,-16.53836161,0.836326473
1945,-215.4760735,0.46849705,-16.84350119,0.821802781
1946,-215.9250629,0.472222968,-17.15072083,0.807199232
1947,-216.3708277,0.475182008,-17.46100836,0.792417739
1948,-216.8136535,0.477477193,-17.76927895,0.777968369
1949,-217.2610738,0.480318614,-18.07656354,0.763744978
1950,-217.6762963,0.478003957,-18.37176083,0.750855612
1951,-218.0695264,0.472499894,-18.6368185,0.741093346
1952,-218.362785,0.452054908,-18.77005943,0.74459744
1953,-218.4343384,0.399089805,-18.55275607,0.783120039
1954,-217.5702511,0.206269187,-17.86948403,0.867885281
1955,-214.2715272,0.346265846,-16.51621118,1.018876128
1956,-207.9031097,1.328552997,-14.29210062,1.255574478
1957,-197.2414066,2.895793587,-12.25094218,1.471822615
1958,-181.1821559,5.172901414,-10.1375152,1.693329017
1959,-167.7379143,6.872606018,-6.667121434,2.048516187
1960,-154.8468249,8.356568779,0.395673988,2.759712968
1961,-133.2055038,11.07270465,8.567612533,3.575358228
1962,-87.41919405,17.2946943,15.85194228,4.294828924
1963,-37.29617982,23.70551146,22.40931374,4.935066107
1964,2.477722894,28.03139212,28.20807502,5.493626388
1965,33.93606052,30.74566913,33.34899916,5.981330907
1966,57.55475902,32.04559678,38.24229287,6.439845626
1967,74.71724094,32.25284264,42.91878862,6.872520192
1968,88.91572894,31.98873807,47.24570932,7.266312788
1969,100.6238674,31.36240848,51.18542378,7.61781467
1970,109.0967242,30.28710397,54.60900786,7.914518706
1971,114.3322606,28.79703145,57.81611522,8.186889131
1972,115.6686724,26.82225612,60.67604922,8.422078122
1973,115.5798884,24.78063483,63.33047536,8.634590795
1974,113.2388977,22.55003967,65.76846805,8.82354123
1975,109.8448669,20.32945438,68.09805146,8.999946483
1976,105.3998265,18.11837983,70.09984919,9.141983363
1977,100.7610395,16.04792969,71.7642359,9.24900212
1978,94.35896575,13.86577908,73.33134852,9.345335063
1979,86.26062448,11.59079133,74.69551647,9.420512499
1980,78.32406339,9.515919719,75.90216052,9.479269015
1981,69.76665237,7.505325524,76.94489372,9.521115338
1982,60.95681861,5.610707373,77.89286292,9.55311999
1983,51.85986634,3.817769846,78.72895892,9.573661598
1984,42.98749868,2.197380568,79.47951206,9.585477461
1985,34.18903593,0.713053324,80.13134378,9.587329078
1986,25.63894697,0.618865733,80.6643769,9.577299327
1987,17.21336417,1.829183079,81.074839,9.555118966
1988,8.749070384,2.95238668,81.38111879,9.522737286
1989,0.21359513,4.000194758,81.62151552,9.48407689
1990,-8.263331931,4.958468748,81.78164718,9.437756571
1991,-16.41911448,5.793715106,81.87241352,9.384935846
1992,-24.3914517,6.536598651,81.89756307,9.326048547
1993,-32.1245786,7.185659647,81.86080448,9.261520565
1994,-39.61847775,7.748125454,81.75575957,9.190765221
1995,-46.8731412,8.230667257,81.61128026,9.116724168
1996,-53.96089331,8.65056957,81.41573008,9.038263464
1997,-60.69434613,8.983830261,81.16261911,8.954774127
1998,-67.19248855,9.255427022,80.84954413,8.866061367
1999,-73.52728461,9.481180209,80.47814439,8.772336402
2000,-79.73520573,9.670231823,80.05305384,8.674107989
2001,-85.82047945,9.82605927,79.57885704,8.57187531
2002,-91.76526933,9.948477348,79.08819517,8.468938661
2003,-97.55337501,10.03756619,78.55916333,8.363113723
2004,-102.9677727,10.06250324,77.99116514,8.254366884
2005,-108.2014251,10.05791081,77.386621,8.142966506
2006,-113.2779544,10.02969475,76.74591896,8.028975272
2007,-118.197159,9.979640882,76.06843989,7.912354572
2008,-122.9733048,9.911623015,75.35357146,7.79306682
2009,-127.6265784,9.830127484,74.58867298,7.669871932
2010,-132.1753241,9.739011783,73.77728398,7.543159111
2011,-136.7228426,9.654906708,72.92892234,7.413911847
2012,-141.2474918,9.573941731,72.03796593,7.281590684
2013,-145.6863047,9.486186504,71.15298426,7.151080229
2014,-150.0903264,9.40001482,70.23482606,7.0184486
2015,-154.1162826,9.262491783,69.28384452,6.883750108
2016,-158.0800064,9.126155087,68.29938712,6.746937995
2017,-161.9870972,8.991772301,,
2018,-165.8498568,8.861083187,,
2019,,,,